"Step","Unlearned_MaxEnt_Relearn_LR_0.0004 - val/multiplication_equation_acc","Unlearned_MaxEnt_Relearn_LR_0.0004 - val/multiplication_equation_acc__MIN","Unlearned_MaxEnt_Relearn_LR_0.0004 - val/multiplication_equation_acc__MAX","Unlearned_MaxEnt_Relearn_LR_0.0007 - val/multiplication_equation_acc","Unlearned_MaxEnt_Relearn_LR_0.0007 - val/multiplication_equation_acc__MIN","Unlearned_MaxEnt_Relearn_LR_0.0007 - val/multiplication_equation_acc__MAX"
"0","0.06","0.06","0.06","0.06","0.06","0.06"
"6","0","0","0","0","0","0"
"12","0.01","0.01","0.01","0","0","0"
"18","0.1","0.1","0.1","0","0","0"
"24","0.32","0.32","0.32","0.01","0.01","0.01"
"30","0.63","0.63","0.63","0.01","0.01","0.01"
"36","0.85","0.85","0.85","0.01","0.01","0.01"
"42","0.7","0.7","0.7","0.03","0.03","0.03"
"48","0.89","0.89","0.89","0.01","0.01","0.01"
"54","0.88","0.88","0.88","0.04","0.04","0.04"
"60","0.9","0.9","0.9","0.16","0.16","0.16"
"66","0.86","0.86","0.86","0.2","0.2","0.2"
"72","0.94","0.94","0.94","0.36","0.36","0.36"
"78","0.86","0.86","0.86","0.41","0.41","0.41"
"84","0.96","0.96","0.96","0.57","0.57","0.57"
"90","0.91","0.91","0.91","0.51","0.51","0.51"
"96","0.93","0.93","0.93","0.68","0.68","0.68"
"102","0.97","0.97","0.97","0.7","0.7","0.7"
"108","0.96","0.96","0.96","0.73","0.73","0.73"
"114","0.94","0.94","0.94","0.67","0.67","0.67"
"120","0.93","0.93","0.93","0.71","0.71","0.71"
"126","0.96","0.96","0.96","0.75","0.75","0.75"
"132","0.94","0.94","0.94","0.81","0.81","0.81"
"138","0.97","0.97","0.97","0.75","0.75","0.75"
"144","0.91","0.91","0.91","0.86","0.86","0.86"
"150","0.99","0.99","0.99","0.81","0.81","0.81"
"156","0.98","0.98","0.98","0.84","0.84","0.84"
"162","0.93","0.93","0.93","0.93","0.93","0.93"
"168","0.97","0.97","0.97","0.94","0.94","0.94"
"174","1","1","1","0.89","0.89","0.89"
"180","0.99","0.99","0.99","0.84","0.84","0.84"
"186","0.96","0.96","0.96","0.94","0.94","0.94"
"192","0.97","0.97","0.97","0.98","0.98","0.98"
"198","0.98","0.98","0.98","1","1","1"
"204","0.99","0.99","0.99","0.94","0.94","0.94"
"210","0.98","0.98","0.98","0.98","0.98","0.98"
"216","0.99","0.99","0.99","0.98","0.98","0.98"
"222","1","1","1","0.98","0.98","0.98"
"228","0.99","0.99","0.99","0.95","0.95","0.95"
"234","1","1","1","0.85","0.85","0.85"
"240","1","1","1","0.92","0.92","0.92"
"246","0.99","0.99","0.99","0.97","0.97","0.97"
"252","1","1","1","0.96","0.96","0.96"
"258","1","1","1","0.98","0.98","0.98"
"264","0.99","0.99","0.99","0.97","0.97","0.97"
"270","1","1","1","0.91","0.91","0.91"
"276","1","1","1","0.94","0.94","0.94"
"282","1","1","1","0.96","0.96","0.96"
"288","1","1","1","0.91","0.91","0.91"
"294","1","1","1","0.98","0.98","0.98"
"300","1","1","1","0.99","0.99","0.99"
"306","1","1","1","0.99","0.99","0.99"
"312","0.98","0.98","0.98","0.97","0.97","0.97"
"318","1","1","1","1","1","1"
"324","1","1","1","1","1","1"
"330","1","1","1","1","1","1"
"336","1","1","1","1","1","1"
"342","1","1","1","1","1","1"
"348","1","1","1","1","1","1"
"354","1","1","1","1","1","1"
"360","1","1","1","0.99","0.99","0.99"
"366","1","1","1","1","1","1"
"372","1","1","1","1","1","1"
"378","0.99","0.99","0.99","1","1","1"
"384","0.94","0.94","0.94","1","1","1"
"390","0.98","0.98","0.98","1","1","1"
"396","0.97","0.97","0.97","0.97","0.97","0.97"
"402","0.96","0.96","0.96","0.99","0.99","0.99"
"408","0.9","0.9","0.9","0.96","0.96","0.96"
"414","0.93","0.93","0.93","1","1","1"
"420","0.94","0.94","0.94","0.98","0.98","0.98"
"426","0.91","0.91","0.91","1","1","1"
"432","0.95","0.95","0.95","0.98","0.98","0.98"
"438","0.95","0.95","0.95","0.97","0.97","0.97"
"444","0.94","0.94","0.94","1","1","1"
"450","0.97","0.97","0.97","0.95","0.95","0.95"
"456","0.97","0.97","0.97","0.96","0.96","0.96"
"462","0.99","0.99","0.99","0.99","0.99","0.99"
"468","1","1","1","0.99","0.99","0.99"
"474","0.98","0.98","0.98","1","1","1"
"480","1","1","1","0.99","0.99","0.99"
"486","0.99","0.99","0.99","0.96","0.96","0.96"
"492","0.99","0.99","0.99","1","1","1"
"498","1","1","1","0.99","0.99","0.99"
"504","1","1","1","0.98","0.98","0.98"
"510","0.99","0.99","0.99","0.98","0.98","0.98"
"516","1","1","1","0.97","0.97","0.97"
"522","0.95","0.95","0.95","0.98","0.98","0.98"
"528","1","1","1","0.95","0.95","0.95"
"534","0.99","0.99","0.99","0.93","0.93","0.93"
"540","1","1","1","0.84","0.84","0.84"
"546","1","1","1","0.93","0.93","0.93"
"552","1","1","1","0.97","0.97","0.97"
"558","1","1","1","0.94","0.94","0.94"
"564","0.98","0.98","0.98","0.96","0.96","0.96"
"570","0.97","0.97","0.97","0.94","0.94","0.94"
"576","0.98","0.98","0.98","0.96","0.96","0.96"
"582","1","1","1","0.97","0.97","0.97"
"588","1","1","1","0.99","0.99","0.99"
"594","1","1","1","1","1","1"
"600","0.99","0.99","0.99","1","1","1"