"Step","alpha: 1.0 - val/multiplication_equation_acc","alpha: 1.0 - val/multiplication_equation_acc__MIN","alpha: 1.0 - val/multiplication_equation_acc__MAX","alpha: 0.9 - val/multiplication_equation_acc","alpha: 0.9 - val/multiplication_equation_acc__MIN","alpha: 0.9 - val/multiplication_equation_acc__MAX","alpha: 0.6 - val/multiplication_equation_acc","alpha: 0.6 - val/multiplication_equation_acc__MIN","alpha: 0.6 - val/multiplication_equation_acc__MAX","alpha: 0.3 - val/multiplication_equation_acc","alpha: 0.3 - val/multiplication_equation_acc__MIN","alpha: 0.3 - val/multiplication_equation_acc__MAX","alpha: 0.1 - val/multiplication_equation_acc","alpha: 0.1 - val/multiplication_equation_acc__MIN","alpha: 0.1 - val/multiplication_equation_acc__MAX"
"0","0.19999999999999998","0.2","0.2","0.07999999999999999","0.08","0.08","0.09999999999999999","0.1","0.1","0.039999999999999994","0.04","0.04","0.06000000000000001","0.06","0.06"
"6","0.137","0","0.21","0.08399999999999999","0","0.23","0.119","0","0.35","0.193","0","0.7","0.195","0","0.68"
"12","0.26","0.01","0.67","0.195","0","0.55","0.188","0","0.44","0.27599999999999997","0","0.91","0.273","0","0.9"
"18","0.35700000000000004","0","0.77","0.277","0","0.71","0.294","0","0.74","0.287","0","0.94","0.293","0.01","0.95"
"24","0.421","0","0.89","0.344","0.01","0.82","0.36","0.01","0.85","0.32399999999999995","0","0.94","0.333","0","0.98"
"30","0.43999999999999995","0.01","0.94","0.38899999999999996","0.01","0.93","0.418","0","0.93","0.381","0","0.94","0.38499999999999995","0","0.92"
"36","0.46799999999999997","0.02","0.96","0.42400000000000004","0.03","0.92","0.453","0","0.93","0.417","0","0.89","0.403","0","0.92"
"42","0.4870000000000001","0.03","0.95","0.44800000000000006","0.01","0.97","0.5050000000000001","0.03","0.98","0.4149999999999999","0","0.87","0.422","0.01","0.93"
"48","0.516","0.07","1","0.477","0.06","0.97","0.493","0.02","0.98","0.441","0","0.95","0.446","0.01","0.96"
"54","0.5429999999999999","0.05","1","0.492","0.06","0.97","0.526","0.08","0.99","0.472","0.01","0.97","0.4789999999999999","0.01","0.97"
"60","0.55","0.12","1","0.512","0.08","0.96","0.544","0.07","1","0.5009999999999999","0.01","0.95","0.5049999999999999","0.01","0.97"
"66","0.5369999999999999","0.13","0.99","0.5050000000000001","0.08","0.94","0.538","0.06","0.98","0.51","0.03","0.97","0.5239999999999999","0.01","0.99"
"72","0.5519999999999999","0.2","0.99","0.5170000000000001","0.08","0.97","0.5529999999999999","0.09","0.98","0.5319999999999999","0","0.99","0.5279999999999999","0.01","0.98"
"78","0.5519999999999999","0.18","1","0.5259999999999999","0.08","0.97","0.553","0.1","1","0.5409999999999999","0.02","0.98","0.56","0.02","0.99"
"84","0.5660000000000001","0.2","0.99","0.559","0.08","0.99","0.5780000000000001","0.1","1","0.574","0.02","0.96","0.5609999999999999","0.03","0.98"
"90","0.576","0.2","0.99","0.563","0.08","0.99","0.5740000000000001","0.1","1","0.5820000000000001","0.01","0.95","0.5879999999999999","0.02","0.97"
"96","0.5940000000000001","0.19","0.99","0.573","0.08","0.99","0.595","0.1","0.99","0.5820000000000001","0","0.93","0.593","0.01","0.97"
"102","0.606","0.18","0.99","0.5790000000000001","0.08","0.95","0.588","0.11","0.99","0.586","0.01","0.95","0.6020000000000001","0.03","0.97"
"108","0.598","0.17","1","0.5920000000000001","0.08","1","0.595","0.1","0.99","0.609","0.04","1","0.602","0.03","0.94"
"114","0.603","0.16","1","0.5890000000000001","0.08","0.99","0.602","0.1","1","0.62","0.04","0.98","0.6289999999999999","0.03","0.95"
"120","0.598","0.16","1","0.611","0.08","1","0.6200000000000001","0.1","1","0.616","0.03","0.97","0.636","0.03","1"
"126","0.627","0.15","1","0.6020000000000001","0.08","0.98","0.622","0.09","1","0.6260000000000001","0.04","0.94","0.6439999999999999","0.03","0.98"
"132","0.6409999999999999","0.19","0.99","0.607","0.08","0.97","0.654","0.1","0.99","0.633","0.05","0.96","0.6489999999999999","0.03","0.99"
"138","0.6299999999999999","0.19","1","0.601","0.08","0.98","0.6529999999999999","0.1","0.99","0.644","0.04","0.98","0.647","0.03","0.97"
"144","0.639","0.18","1","0.613","0.08","0.98","0.6489999999999999","0.1","0.99","0.635","0.05","0.95","0.6580000000000001","0.03","0.98"
"150","0.6519999999999999","0.19","1","0.638","0.08","1","0.65","0.1","0.99","0.643","0.04","0.98","0.6759999999999999","0.03","0.99"
"156","0.658","0.18","1","0.6359999999999999","0.08","1","0.654","0.1","1","0.666","0.05","0.98","0.6769999999999999","0.03","0.99"
"162","0.6539999999999999","0.19","0.99","0.653","0.08","0.99","0.663","0.11","1","0.669","0.04","0.95","0.6819999999999999","0.03","1"
"168","0.665","0.19","1","0.657","0.08","1","0.6699999999999999","0.1","0.99","0.6649999999999999","0.04","0.97","0.675","0.03","0.99"
"174","0.663","0.16","1","0.6450000000000001","0.08","0.99","0.658","0.11","0.98","0.667","0.04","0.96","0.671","0.03","0.99"
"180","0.671","0.18","1","0.652","0.08","0.99","0.667","0.11","0.99","0.6890000000000001","0.04","0.99","0.694","0.03","1"
"186","0.679","0.18","1","0.659","0.08","0.99","0.6819999999999999","0.11","0.99","0.671","0.05","0.99","0.6869999999999999","0.03","1"
"192","0.6759999999999999","0.17","0.99","0.667","0.08","0.99","0.6759999999999999","0.1","1","0.6930000000000001","0.04","1","0.697","0.03","0.99"
"198","0.686","0.16","1","0.665","0.08","0.99","0.6859999999999999","0.1","1","0.657","0.04","0.97","0.699","0.03","1"
"204","0.6970000000000001","0.15","1","0.6759999999999999","0.08","1","0.7020000000000002","0.11","1","0.6880000000000001","0.04","0.95","0.701","0.03","0.97"
"210","0.7000000000000001","0.15","1","0.666","0.08","0.99","0.704","0.11","1","0.698","0.05","0.95","0.694","0.03","1"
"216","0.711","0.14","1","0.671","0.08","0.99","0.706","0.1","1","0.7060000000000002","0.05","0.93","0.7070000000000001","0.03","1"
"222","0.712","0.15","1","0.6779999999999999","0.08","0.99","0.709","0.1","1","0.725","0.05","0.97","0.6950000000000001","0.03","0.97"
"228","0.6890000000000001","0.14","1","0.6719999999999999","0.08","0.98","0.7020000000000001","0.1","0.99","0.725","0.05","0.98","0.695","0.03","0.94"
"234","0.7000000000000001","0.12","1","0.6749999999999999","0.08","0.97","0.717","0.09","0.99","0.7210000000000001","0.05","0.96","0.718","0.03","1"
"240","0.7040000000000001","0.13","0.99","0.693","0.08","0.99","0.704","0.11","0.99","0.734","0.06","0.97","0.708","0.03","0.99"
"246","0.705","0.13","1","0.6679999999999999","0.08","0.98","0.716","0.1","1","0.724","0.04","1","0.7160000000000001","0.03","0.99"
"252","0.708","0.13","1","0.6759999999999999","0.08","0.99","0.7169999999999999","0.1","1","0.741","0.05","0.99","0.736","0.03","1"
"258","0.7070000000000001","0.13","1","0.681","0.08","0.99","0.72","0.1","1","0.758","0.06","1","0.736","0.04","0.99"
"264","0.716","0.13","1","0.6910000000000001","0.08","0.99","0.713","0.11","1","0.7529999999999999","0.05","0.98","0.734","0.03","0.99"
"270","0.7200000000000001","0.13","1","0.6980000000000001","0.08","0.99","0.721","0.1","1","0.7430000000000001","0.05","0.99","0.74","0.03","0.99"
"276","0.716","0.13","1","0.689","0.08","0.99","0.7220000000000001","0.1","1","0.76","0.05","1","0.741","0.03","0.99"
"282","0.708","0.13","1","0.694","0.08","1","0.727","0.12","1","0.744","0.05","0.99","0.745","0.03","1"
"288","0.725","0.17","1","0.6949999999999998","0.08","1","0.7259999999999999","0.1","1","0.751","0.05","0.99","0.73","0.03","0.97"
"294","0.732","0.21","1","0.7040000000000001","0.08","0.99","0.732","0.11","1","0.759","0.06","0.99","0.754","0.03","1"
"300","0.737","0.21","1","0.708","0.08","1","0.727","0.1","1","0.772","0.05","1","0.76","0.03","0.99"
"306","0.729","0.21","1","0.702","0.08","0.99","0.733","0.12","1","0.768","0.05","0.98","0.7650000000000001","0.04","0.99"
"312","0.737","0.21","1","0.715","0.08","1","0.7289999999999999","0.11","1","0.7659999999999999","0.05","0.98","0.7350000000000001","0.05","0.99"
"318","0.74","0.21","1","0.716","0.08","1","0.739","0.1","1","0.771","0.06","0.98","0.748","0.04","0.99"
"324","0.738","0.21","1","0.7140000000000001","0.08","1","0.744","0.1","1","0.787","0.05","1","0.752","0.04","0.98"
"330","0.7380000000000001","0.21","1","0.699","0.08","0.99","0.741","0.1","0.99","0.78","0.05","0.99","0.765","0.04","0.96"
"336","0.748","0.2","1","0.723","0.08","1","0.7510000000000001","0.1","1","0.76","0.05","0.99","0.7649999999999999","0.04","0.99"
"342","0.7510000000000001","0.21","1","0.721","0.08","1","0.735","0.1","1","0.781","0.05","0.99","0.7600000000000001","0.05","1"
"348","0.751","0.21","1","0.726","0.08","1","0.752","0.1","1","0.764","0.06","0.98","0.766","0.05","0.99"
"354","0.753","0.21","1","0.7260000000000001","0.08","1","0.751","0.1","0.99","0.7789999999999999","0.05","1","0.773","0.04","0.98"
"360","0.752","0.21","1","0.7200000000000001","0.08","0.99","0.752","0.11","0.98","0.784","0.06","0.99","0.7729999999999999","0.04","1"
"366","0.748","0.21","1","0.7229999999999999","0.08","0.97","0.7369999999999999","0.11","0.97","0.7789999999999999","0.06","1","0.772","0.05","0.98"
"372","0.746","0.19","1","0.7259999999999999","0.08","0.98","0.7449999999999999","0.1","0.97","0.789","0.07","1","0.779","0.04","0.99"
"378","0.754","0.19","1","0.7289999999999999","0.08","0.98","0.752","0.11","0.99","0.7999999999999999","0.06","1","0.787","0.05","0.99"
"384","0.757","0.19","1","0.741","0.08","0.99","0.7609999999999999","0.1","1","0.7949999999999999","0.06","1","0.7939999999999999","0.04","0.99"
"390","0.759","0.18","1","0.738","0.08","0.99","0.752","0.1","1","0.7979999999999999","0.07","1","0.7890000000000001","0.04","0.98"
"396","0.7609999999999999","0.18","1","0.749","0.08","1","0.7539999999999999","0.1","0.99","0.7849999999999999","0.06","1","0.768","0.06","0.98"
"402","0.7589999999999999","0.18","1","0.7460000000000001","0.08","1","0.76","0.1","0.99","0.7949999999999999","0.07","1","0.7539999999999999","0.05","0.99"
"408","0.76","0.18","1","0.7430000000000001","0.08","1","0.755","0.1","1","0.7809999999999999","0.07","0.98","0.767","0.06","1"
"414","0.7630000000000001","0.18","1","0.7529999999999999","0.08","1","0.761","0.11","0.99","0.804","0.07","0.99","0.777","0.05","1"
"420","0.762","0.18","1","0.755","0.08","1","0.78","0.11","1","0.7999999999999999","0.07","1","0.78","0.04","1"
"426","0.761","0.18","0.99","0.756","0.08","1","0.785","0.12","1","0.794","0.06","1","0.778","0.05","0.99"
"432","0.767","0.18","1","0.752","0.08","1","0.773","0.1","1","0.8","0.07","1","0.7889999999999999","0.06","1"
"438","0.768","0.18","1","0.76","0.08","1","0.7779999999999999","0.11","1","0.8100000000000002","0.07","1","0.783","0.05","1"
"444","0.775","0.18","1","0.767","0.08","1","0.7729999999999999","0.1","1","0.804","0.07","0.99","0.7860000000000001","0.04","0.98"
"450","0.7699999999999999","0.19","1","0.758","0.08","1","0.778","0.11","1","0.788","0.07","1","0.776","0.06","0.96"
"456","0.784","0.19","1","0.759","0.08","1","0.787","0.11","1","0.784","0.07","1","0.7909999999999999","0.05","1"
"462","0.783","0.19","1","0.7569999999999999","0.08","1","0.784","0.12","1","0.8020000000000002","0.08","0.99","0.8019999999999999","0.05","1"
"468","0.785","0.19","1","0.757","0.08","1","0.791","0.11","1","0.8160000000000001","0.07","1","0.79","0.05","1"
"474","0.784","0.18","1","0.756","0.08","1","0.7879999999999999","0.11","1","0.806","0.07","1","0.7979999999999999","0.06","1"
"480","0.7870000000000001","0.19","1","0.7579999999999999","0.08","1","0.7950000000000002","0.1","1","0.8119999999999999","0.06","1","0.8099999999999999","0.06","1"
"486","0.783","0.2","1","0.763","0.08","1","0.79","0.1","1","0.8059999999999998","0.07","1","0.808","0.05","1"
"492","0.784","0.19","1","0.7619999999999999","0.08","1","0.792","0.11","1","0.807","0.08","1","0.8109999999999999","0.07","1"
"498","0.78","0.18","1","0.7689999999999999","0.08","1","0.7950000000000002","0.09","1","0.819","0.08","1","0.8030000000000002","0.06","1"
"504","0.784","0.19","1","0.768","0.08","1","0.7859999999999999","0.09","1","0.82","0.07","1","0.8019999999999999","0.06","1"
"510","0.784","0.17","1","0.7689999999999999","0.08","1","0.7889999999999999","0.11","1","0.827","0.08","1","0.8130000000000001","0.05","1"
"516","0.782","0.17","1","0.774","0.08","1","0.795","0.1","1","0.826","0.08","1","0.813","0.06","1"
"522","0.7869999999999999","0.18","1","0.771","0.08","1","0.799","0.1","1","0.829","0.08","1","0.8089999999999999","0.06","1"
"528","0.78","0.16","1","0.775","0.08","1","0.8","0.1","1","0.825","0.07","1","0.817","0.07","1"
"534","0.7909999999999999","0.17","1","0.78","0.08","1","0.799","0.1","1","0.8300000000000001","0.08","1","0.8220000000000001","0.06","1"
"540","0.783","0.16","1","0.773","0.08","1","0.7929999999999999","0.1","1","0.8380000000000001","0.08","1","0.8300000000000001","0.07","1"
"546","0.7870000000000001","0.17","1","0.7809999999999999","0.08","1","0.8019999999999999","0.11","1","0.8360000000000001","0.07","1","0.827","0.07","1"
"552","0.775","0.16","0.99","0.781","0.08","1","0.8","0.1","1","0.8239999999999998","0.07","1","0.8149999999999998","0.07","1"
"558","0.772","0.16","0.99","0.78","0.08","1","0.798","0.11","1","0.82","0.08","1","0.796","0.06","1"
"564","0.783","0.16","1","0.784","0.08","1","0.798","0.11","1","0.8239999999999998","0.07","1","0.821","0.07","1"
"570","0.7799999999999999","0.16","1","0.783","0.08","1","0.8029999999999999","0.12","1","0.819","0.08","0.99","0.8210000000000001","0.07","1"
"576","0.782","0.16","1","0.779","0.08","1","0.8019999999999999","0.1","1","0.817","0.08","0.98","0.819","0.08","1"
"582","0.783","0.17","0.99","0.7819999999999999","0.08","1","0.8039999999999999","0.11","1","0.826","0.08","0.99","0.812","0.09","1"
"588","0.792","0.16","1","0.7849999999999999","0.08","1","0.8009999999999999","0.1","1","0.825","0.08","1","0.8130000000000001","0.09","1"
"594","0.7869999999999999","0.18","1","0.7809999999999999","0.08","1","0.8009999999999999","0.11","1","0.825","0.07","1","0.8169999999999998","0.09","1"
"600","0.7889999999999999","0.18","1","0.776","0.08","0.99","0.799","0.11","1","0.8300000000000001","0.08","1","0.812","0.09","1"